No,q,ch,answer_ground_truth
1,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif
2,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan
3,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
4,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas"
5,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus
6,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat
7,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan
8,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
9,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS)
10,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir
11,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris
12,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari
13,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
14,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
15,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
16,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS
17,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
"
18,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari
19,Siapa yang dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (2)?,"A) Hanya Direksi Perusahaan Terbuka
B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki
C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
D) Anggota Dewan Komisaris",C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
20,Apa saja informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2)?,"A) Hanya tanggal dan waktu RUPS
B) Tanggal, waktu, dan tempat RUPS
C) Tanggal, waktu, tempat, dan ketentuan pemegang saham yang berhak hadir
D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS"
21,Kapan bahan mata acara rapat wajib tersedia bagi pemegang saham menurut Pasal 18 ayat (2)?,"A) Setelah penyelenggaraan RUPS
B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
C) 7 (tujuh) hari setelah pemanggilan RUPS
D) Sebelum dilakukannya pemanggilan RUPS",B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
22,Kapan Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1)?,"A) Setiap kali terjadi perubahan informasi
B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS
C) Jika terdapat perubahan informasi, tetapi bukan karena kesalahan Perusahaan Terbuka atau perintah Otoritas Jasa Keuangan
D) Hanya jika terdapat penambahan mata acara RUPS",A) Setiap kali terjadi perubahan informasi
23,Kapan pemanggilan RUPS kedua wajib dilakukan menurut Pasal 20?,"A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan
B) Paling cepat 7 (tujuh) hari setelah RUPS pertama diselenggarakan
C) Paling lambat 10 (sepuluh) hari sejak RUPS pertama diselenggarakan
D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan",A) Paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan
24,Bagaimana pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25?,"A) Tidak berhak memperoleh informasi
B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka
C) Berhak memperoleh informasi tanpa batasan
D) Hanya berhak jika diizinkan oleh Dewan Komisaris

",C) Berhak memperoleh informasi tanpa batasan
25,Siapakah yang dapat diundang oleh Perusahaan Terbuka pada saat pelaksanaan RUPS berdasarkan Pasal 26?,"A) Pemegang saham saja
B) Pihak lain yang terkait dengan mata acara RUPS
C) Dewan Komisaris saja
D) Anggota Direksi Perusahaan Terbuka saja",B) Pihak lain yang terkait dengan mata acara RUPS
26,Apa yang harus disediakan Perusahaan Terbuka bagi pemegang saham menurut Pasal 27?,"A) Alternatif pemberian kuasa secara tertulis
B) Alternatif pemberian kuasa secara elektronik
C) Alternatif kehadiran langsung pemegang saham
D) Alternatif pemberian kuasa hanya melalui surat resmi",B) Alternatif pemberian kuasa secara elektronik
27,Kapan pemberian kuasa secara elektronik harus dilakukan menurut Pasal 28?,"A) Paling lambat 7 (tujuh) hari sebelum penyelenggaraan RUPS
B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS
C) Pada hari penyelenggaraan RUPS
D) Setelah penyelenggaraan RUPS",B) Paling lambat 1 (satu) hari kerja sebelum penyelenggaraan RUPS
28,Siapakah yang dapat menjadi Penerima Kuasa secara elektronik menurut Pasal 30?,"A) Anggota Direksi Perusahaan Terbuka
B) Pihak yang tidak terdaftar di dalam sistem e-RUPS atau sistem yang disediakan oleh Perusahaan Terbuka
C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham
D) Karyawan Perusahaan Terbuka",C) Partisipan yang mengadministrasikan sub rekening efek/efek milik pemegang saham
29,Apa saja kewajiban yang harus dipenuhi oleh Penyedia e-RUPS menurut Pasal 35?,"A) Hanya memiliki mekanisme operasional standar penyelenggaraan e-RUPS
B) Menyediakan hak akses kepada Pengguna e-RUPS dan informasi perubahan sistem
C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS
D) Bertanggung jawab atas kerugian akibat kegagalan sistem teknologi informasi",C) Memastikan keamanan dan keandalan e-RUPS serta menyimpan semua data pelaksanaan e-RUPS
30,Kapan ketentuan mengenai prosedur dan tata cara penggunaan e-RUPS berlaku efektif menurut Pasal 36?,"A) Setelah disetujui oleh Perusahaan Terbuka
B) Setelah disetujui oleh Pengguna e-RUPS
C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan
D) Setelah disahkan oleh Rapat Umum Pemegang Saham",C) Setelah memperoleh persetujuan Otoritas Jasa Keuangan
31,"Apa yang harus dilakukan Perusahaan Terbuka ketika melakukan Transaksi Afiliasi, menurut Pasal 4?","A) Hanya menggunakan Penilai untuk menentukan nilai wajar Transaksi Afiliasi.
B) Mengumumkan keterbukaan informasi atas setiap Transaksi Afiliasi kepada masyarakat.
C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.
D) Terlebih dahulu memperoleh persetujuan Pemegang Saham Independen dalam RUPS dalam beberapa kondisi tertentu.",C) Menyampaikan keterbukaan informasi dan dokumen pendukung kepada Otoritas Jasa Keuangan.
32,Berapa lama jangka waktu antara tanggal penilaian nilai wajar oleh Penilai dan tanggal pelaksanaan RUPS jika Transaksi Afiliasi memerlukan persetujuan RUPS?,"A) Paling lambat 3 bulan.
B) Paling lama 6 bulan.
C) Paling singkat 1 bulan.
D) Tidak ada ketentuan waktu yang ditetapkan.",B) Paling lama 6 bulan.
33,Kapan Perusahaan Terbuka tidak wajib memenuhi ketentuan sebagaimana dimaksud dalam Pasal 4 ayat (1) menurut Pasal 8?,"A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan.
B) Jika Transaksi Afiliasi merupakan kegiatan usaha yang dijalankan hanya untuk sekali transaksi.
C) Jika Otoritas Jasa Keuangan menetapkan bahwa Perusahaan Terbuka tidak wajib melakukannya.
D) Ketika Transaksi Afiliasi melibatkan pihak yang bertransaksi di luar lembaga jasa keuangan.","A) Ketika Transaksi Afiliasi dilakukan oleh Perusahaan Terbuka dalam rangka menghasilkan pendapatan usaha secara rutin, berulang, dan/atau berkelanjutan"
34,Apa yang diwajibkan oleh Pasal 9 terkait dengan Transaksi Afiliasi menurut peraturan ini?,"A) Melaporkan Transaksi Afiliasi kepada Otoritas Jasa Keuangan.
B) Melakukan prosedur sebagaimana dimaksud dalam Pasal 3 setiap kali melakukan Transaksi Afiliasi.
C) Mengumumkan Transaksi Afiliasi kepada masyarakat.
D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.",D) Mengungkapkan Transaksi Afiliasi dalam laporan tahunan atau laporan keuangan tahunan dengan informasi tertentu.
