,answer,ans_grth,score
0,"Dalam peraturan Otoritas Jasa Keuangan, yang dimaksud dengan efek adalah surat berharga yang mencakup surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas efek, dan setiap derivatif dari efek. 

Penawaran Umum adalah kegiatan penawaran efek yang dilakukan oleh emiten untuk menjual efek kepada masyarakat berdasarkan tata cara yang diatur dalam Undang-Undang mengenai pasar modal dan peraturan pelaksanaannya.

Emiten adalah pihak yang melakukan Penawaran Umum, yaitu pihak yang menjual efek kepada masyarakat.","""a. Efek adalah surat berharga, yaitu surat pengakuan 
utang, surat berharga komersial, saham, obligasi, tanda 
bukti utang, unit penyertaan kontrak investasi kolektif, 
kontrak berjangka atas Efek, dan setiap derivatif dari 
Efek. b. Penawaran Umum adalah kegiatan penawaran Efek yang 
dilakukan oleh emiten untuk menjual Efek kepada
masyarakat berdasarkan tata cara yang diatur dalam 
Undang-Undang Nomor 8 Tahun 1995 tentang Pasar 
Modal dan peraturan pelaksanaannya. c. Emiten adalah Pihak yang melakukan Penawaran Umum.",1
1,"Dalam rangka Penawaran Umum oleh Emiten atau pemasaran Efek, Perusahaan Efek dilarang untuk melakukan promosi pemasaran Efek yang memuat informasi yang tidak benar atau tidak mengungkapkan fakta material sehingga memberikan gambaran yang menyesatkan, serta memberikan gambaran yang menyesatkan yang dapat memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut. Larangan ini diatur dalam Pasal 2 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019.","""
""a. memuat informasi yang tidak benar atau tidak 
mengungkapkan fakta material, sehingga memberikan 
gambaran yang menyesatkan; dan/atau
b. memberikan gambaran yang menyesatkan, karena isi 
dan/atau metode penyajiannya memberikan kesan 
bahwa Efek tertentu tepat bagi Pihak tertentu yang 
sebenarnya tidak memiliki kemampuan yang cukup 
untuk menanggung risiko yang ada pada Efek tersebut.",1
2,"Dalam regulasi ""PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7/POJK.04/2019 TENTANG PROMOSI PEMASARAN EFEK TERMASUK IKLAN, BROSUR, ATAU KOMUNIKASI LAINNYA KEPADA PUBLIK"", kewajiban promosi pemasaran efek termasuk:

1. Memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu yang dipromosikan.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, harus memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, serta keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal memperoleh Prospektus atau kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.","""
a. memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu; dan b. mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu dimaksud.",1
3,"Dalam promosi pemasaran efek, terdapat beberapa hal yang wajib diungkapkan sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik. Hal-hal yang harus dimuat dalam promosi pemasaran efek antara lain:

1. Informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Pengungkapan risiko yang berhubungan dengan investasi atas Efek tertentu.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, harus memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, serta keterangan apakah pihak tersebut telah memperdagangkan Efek tersebut.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",1
4,Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif sebagaimana dimaksud dalam Pasal 16 ayat (1) dari Peraturan Otoritas Jasa Keuangan Nomor 36/POJK.04/2014 tentang Penawaran Umum Berkelanjutan Efek Bersifat Utang dan/atau Sukuk.,"
Pasal 7 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 8 kepada masyarakat.",1
5,"Dalam hal promosi pemasaran efek, berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019, informasi yang wajib dimuat termasuk:

1. Informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Pengungkapan risiko yang berhubungan dengan investasi atas Efek tertentu.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, informasi yang harus disertakan minimal meliputi:
   a. Tanggal rekomendasi.
   b. Harga pasar pada saat rekomendasi dibuat.
   c. Pihak yang memberikan rekomendasi.
   d. Keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, maka pendapat, proyeksi, atau ramalan tersebut harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal memperoleh Prospektus atau kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek.","
a. tanggal rekomendasi; b. harga pasar pada saat rekomendasi dibuat; c. Pihak yang memberikan rekomendasi; dan d. keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).",1
6,"Dalam hal promosi pemasaran efek yang memuat pendapat, proyeksi, atau ramalan mengenai efek tertentu, pendapat, proyeksi, atau ramalan mengenai efek tertentu tersebut wajib diungkapkan secara jelas sesuai dengan Pasal 5 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019.","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",0
7,"Sanksi administratif yang dimaksud pada ayat (1) adalah sanksi yang dikenai kepada setiap pihak yang melakukan pelanggaran terhadap Undang-Undang atau peraturan pelaksanaannya yang berlaku. Sanksi administratif ini termasuk dalam ketentuan yang diatur dalam Pasal 102 (1) dari Undang-Undang No.8 Tahun 1995, Pasal 55 (1) dari POJK No. 41/POJK.04/2020, Pasal 43 (1) dari POJK No. 30/POJK.04/2019, dan Pasal 15 (1) dari POJK No. 27/POJK.04/2020.","
a. peringatan tertulis; b. denda yaitu kewajiban untuk membayar sejumlah uang tertentu; c. pembatasan kegiatan usaha; d. pembekuan kegiatan usaha; e. pencabutan izin usaha; f. pembatalan persetujuan; dan/atau g. pembatalan pendaftaran.",1
8,"Regulasi Otoritas Jasa Keuangan Nomor 6/POJK.07/2022 tentang Perlindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan mulai berlaku pada tanggal diundangkan. Sedangkan untuk Lembaga Keuangan Mikro, regulasi ini mulai berlaku 5 (lima) tahun setelah tanggal diundangkan. Oleh karena itu, Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada tanggal diundangkan.","
""Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada
tanggal diundangkan.",0
9,"Prospektus, Prospektus Awal, dan Prospektus Ringkas adalah istilah yang digunakan dalam regulasi di Indonesia terkait dengan penawaran umum efek. Berdasarkan Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2017 tentang Prospektus Awal dan Info Memo, yang dimaksud dengan:

1. Prospektus: Setiap informasi tertulis sehubungan dengan penawaran umum dengan tujuan agar pihak lain membeli efek.
2. Prospektus Awal: Dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran efek, penjaminan emisi efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan.
3. Prospektus Ringkas: Ringkasan dari isi Prospektus Awal.

Jadi, prospektus adalah informasi tertulis terkait dengan penawaran umum efek, prospektus awal adalah dokumen awal yang memuat informasi lengkap yang disampaikan kepada Otoritas Jasa Keuangan, sedangkan prospektus ringkas adalah ringkasan dari isi prospektus awal. Penjelasan ini didasarkan pada Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2017.","""
Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek Emiten. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. ",1
