,q,ch,a,answer_mcq,score,score_by_ai,
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah:

D) Bentuk pengakuan utang

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan tentang Pelaporan Transaksi Efek pada Pasal 1.",0,0,0.42
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Dalam promosi pemasaran Efek, menurut Pasal 2, yang dilarang adalah:

B) Memberikan gambaran yang menyesatkan, karena isi dan/atau metode penyajiannya memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut.",1,0,0.82
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Dalam promosi pemasaran Efek menurut Pasal 3, yang wajib dimuat adalah:

A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu.",1,1,
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Pasal 5 dalam hal promosi pemasaran Efek mewajibkan untuk B) Memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu secara jelas. (Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal, Pasal 5)",1,0,
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Dalam rangka Penawaran Umum, promosi pemasaran Efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. Oleh karena itu, jawabannya adalah B) Prospektus atau kesempatan untuk membaca Prospektus. Hal ini sesuai dengan Pasal 6 yang diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 1/POJK.04/2013 tentang Penerbitan dan Perdagangan Efek Bersifat Ekuitas pada Pasar Modal.",1,0,
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan ini. Oleh karena itu, jawabannya adalah:

C) Melakukan tindakan tertentu kepada Pihak yang melanggar

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan.",0,0,
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,Peraturan Otoritas Jasa Keuangan mulai berlaku pada tanggal diundangkan.,1,0,
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"""Perusahaan Terbuka"" menurut Pasal 1 adalah B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1,1,
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),Yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka adalah B) Penerima Kuasa. Hal ini sesuai dengan ketentuan dalam Peraturan Otoritas Jasa Keuangan tahun 2011.,0,0,
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,"Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir. Oleh karena itu, jawabannya adalah C) Paling lambat 6 bulan setelah tahun buku berakhir. Regulasi yang mengatur hal ini adalah Pasal 2 ayat (2) dari Undang-Undang Nomor 40 Tahun 2007 tentang Perseroan Terbatas.",1,0,
