,q,ch,a,answer_mcq,score
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah:

D) Bentuk pengakuan utang

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan Nomor 22/POJK.04/2019 tentang Transaksi Efek, dalam Pasal 1.",
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Dalam promosi pemasaran Efek menurut Pasal 2, yang dilarang adalah:

B) Memberikan gambaran yang menyesatkan. 

Hal ini termasuk memuat informasi yang tidak benar atau tidak mengungkapkan fakta material sehingga memberikan gambaran yang menyesatkan, serta memberikan gambaran yang menyesatkan karena isi dan/atau metode penyajiannya memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut. (POJK No. 7/POJK.04/2019 Pasal 2)",
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Dalam promosi pemasaran Efek menurut Pasal 3, hal yang wajib dimuat adalah:

A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu",
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek adalah B) Memuat pendapat, proyeksi, atau ramalan secara jelas. (POJK No. 7/POJK.04/2019 Pasal 5)",
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum, yang harus dimuat adalah B) Prospektus atau kesempatan untuk membaca Prospektus.",
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap setiap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan ini. Oleh karena itu, jawabannya adalah C) Melakukan tindakan tertentu kepada Pihak yang melanggar. Hal ini sesuai dengan Pasal 9 pada Peraturan Otoritas Jasa Keuangan Nomor 51/POJK.04/2016 tentang Tata Cara untuk Meminta Perubahan dan/atau Tambahan Informasi atas Pernyataan Pendaftaran.",
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Peraturan Otoritas Jasa Keuangan (POJK) mulai berlaku pada:
A) Setelah diumumkan kepada masyarakat (Pasal 41, POJK Nomor 15/POJK.04/2022)
B) Tanggal diundangkan (Pasal 62, POJK Nomor 6/POJK.07/2022)
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan Pasal 1 dari Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka, yang dimaksud dengan ""Perusahaan Terbuka"" adalah B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"Dalam Peraturan Otoritas Jasa Keuangan Nomor 3/POJK.04/2021 tentang Penyelenggaraan Kegiatan di Bidang Pasar Modal, Pasal 89 ayat (1) menyatakan bahwa wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka dapat dimiliki oleh Pemegang Saham Independen.",
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,"Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir. Oleh karena itu, jawabannya adalah:

C) Paling lambat 6 bulan setelah tahun buku berakhir",
