,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,Pasal 13 Undang-Undang Republik Indonesia Nomor 4 Tahun 2,1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,Pasal 22 ayat 2 huruf b Peraturan Otoritas Jasa Keuangan Nomor 3/POJK.04/2,0
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"Based on the provided context, which is the Regulation of OJK (Financial Services Authority) Number 3/POJK.04/2",1
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,Saham adalah surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan yang dimaksud dalam Peraturan Otoritas Jasa Keuangan Nomor 58/POJK.04/2017 Tentang Penyampaian Pernyataan Pendaftaran atau Pengajuan Aksi Korporasi Secara Elektronik.,1
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2",0
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,"Pasal 109A Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan, mengatur mengenai pidana tambahan terhadap korporasi atau badan usaha, baik yang berbentuk badan hukum maupun yang tidak berbentuk badan hukum, serta badan lainnya. Hal ini meliputi pidana denda dan pembekuan sebagian atau seluruh kegiatan usaha korporasi atau badan hukum atau badan lainnya, setelah mendapatkan pertimbangan dari Otoritas Jasa Keuangan.

Pasal 67 Undang-Undang No.8 Tahun 1995 dalam BAB VIII tentang PROFESI PENUNJANG PASAR MODAL menetapkan bahwa Profesi Penunjang Pasar Modal wajib memberikan pendapat atau penilaian yang independen dalam melakukan kegiatan usaha di bidang Pasar Modal.

Jawaban mengenai pilihan ganda:
Berikut ini yang bukan pelaku di pasar modal:
d. BUMN (Badan Usaha Milik Negara)
Karena BUMN merupakan badan usaha milik negara, sedangkan pelaku di pasar modal umumnya merupakan badan usaha swasta.

Sumber:
Undang-Undang Republik Indonesia Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan
Undang-Undang No.8 Tahun 1995 dalam BAB VIII tentang PROFESI PENUNJANG PASAR MODAL",0
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,Based on the regulations stated in Peraturan Otoritas Jasa Keuangan (OJK) Nomor 34/POJK.03/2,0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,"Based on the provided context, which includes the explanation of Article 10, Article 8, and Article 9 of Law No.8 Year 1995 and some definitions from Law No.4 Year 2",0
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,"The document you're asking about is not explicitly mentioned in the provided context. However, based on the context of the conversation, I assume you're referring to the ""Prospektus"" mentioned in Pasal 18 letter b of PERATURAN OTORITAS JASA KEUANGAN NOMOR 32/POJK.04/2015 TENTANG PENAMBAHAN MODAL PERUSAHAAN TERBUKA DENGAN MEMBERIKAN HAK MEMESAN EFEK TERLEBIH DAHULU.

In this regulation, the ""Prospektus"" is the primary document that a Perusahaan Terbuka (public company) must submit as part of the Pernyataan Pendaftaran (registration statement) process. It contains detailed information about the company, the offering, and the securities being sold to the public.

So, to answer your question, the document you're referring to is called ""Prospektus"" based on the given regulation.",0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"Based on the provided context, which is the Indonesian Capital Market Law No. 8/1995, I can answer the following questions:

1. What powers does Bapepam (the Indonesian Financial Services Authority) have to investigate potential violations of the capital market law?

According to Pasal 100 Ayat (1) of Undang-Undang No.8 Tahun 1995, Bapepam has the authority to conduct investigations against any party suspected of violating the capital market law and its implementing regulations. By virtue of this power, Bapepam can collect data, information, and other evidence needed to prove any violations.

Furthermore, Pasal 100 Ayat (2) states that Bapepam can request statements and confirmations, review records, books, and other documents from the suspected party or any other relevant parties.

1. What measures can Bapepam take to address violations of the capital market law?

Based on Pasal 100 Ayat (2) of Undang-Undang No.8 Tahun 1995 and the explanation of Pasal 100, Bapepam has the power to:

a. Request statements and confirmations from the suspected parties or other relevant parties.
b. Order the suspected parties to perform or abstain from specific actions.
c. Suspend any activities that constitute a violation of the capital market law, such as ordering issuers or public companies to stop misleading advertisements in mass media.
d. Order specific actions to be taken to reduce losses or prevent further damage, such as requiring issuers or public companies to correct misleading advertisements.
e. Establish terms and conditions or allow for specific resolutions regarding losses resulting from violations of the capital market law, which may include legal settlements between the involved parties.

1. What is one of the functions of Bapepam in the context of the capital market?

One of the functions of Bapepam, according to the provided context, is to conduct inspections and supervision of financial reports for companies that intend to list on the stock exchange (Pasal 13 huruf a Undang-Undang No.8 Tahun 1995).",0
