,q,ch,a,answer_mcq,score,score_by_ai,
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"D) Bentuk pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek.

Sebagaimana dimaksud dalam Peraturan Otoritas Jasa Keuangan, ""Efek"" adalah surat berharga yang meliputi surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Peraturan Otoritas Jasa Keuangan tentang Transaksi Efek yang Tidak Dilarang bagi Orang Dalam, Pasal 1 ayat (1)).",0,0,0.4
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Pasal 2 yang Anda minta tidak terkait dengan promosi pemasaran Efek, melainkan dengan Penawaran Umum. Oleh karena itu, tidak ada jawaban yang dapat dipilih dari opsi yang Anda berikan (A, B, C, atau D).

Pasal 2 menetapkan bahwa Penawaran Umum adalah penawaran Efek yang dilakukan dalam wilayah Republik Indonesia atau kepada warga negara Indonesia dengan menggunakan media massa atau ditawarkan kepada lebih dari 100 (seratus) Pihak atau telah dijual kepada lebih dari 50 (lima puluh) Pihak. Hal ini berbeda dengan promosi pemasaran Efek yang didefinisikan dalam Pasal 3, yang meliputi informasi yang wajib dimuat dalam promosi pemasaran Efek, seperti risiko investasi dan keterangan apakah Efek tertentu hanya cocok untuk kelompok pemodal tertentu.

Namun, Pasal 5 melarang penyajian pendapat, proyeksi, atau ramalan mengenai Efek tertentu tanpa penjelasan yang jelas. Pasal 6 menetapkan bahwa dalam rangka Penawaran Umum, promosi pemasaran Efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.

Dalam hal promosi pemasaran Efek, Pasal 4 menetapkan bahwa promosi pemasaran Efek wajib memuat informasi jika memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu. Informasi yang wajib dimuat meliputi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, Pihak yang memberikan rekomendasi, dan keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).

Pasal 7 menetapkan sanksi administratif untuk Pihak yang melanggar ketentuan Pasal 2 sampai Pasal 6, sanksi tersebut berupa peringatan tertulis atau memberikan gambaran yang menyesatkan.",0,0,0.8
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Sebagai ahli regulasi pasar modal di Indonesia, dari konteks yang Anda berikan, yaitu Pasal 3 dari aturan yang berlaku, tentang Promosi Pemasaran Efek, berikut informasi yang wajib dimuat:

A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu

Karena Pasal 3 menetapkan bahwa dalam promosi pemasaran Efek wajib memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu. Hal ini dimaksudkan untuk mencegah kebingungan atau pengambilan keputusan yang salah oleh para pemodal, terutama yang memiliki kapasitas keuangan terbatas, karena mereka akan mengerti bahwa Efek tersebut hanya cocok untuk kelompok pemodal tertentu yang memiliki kemampuan untuk menanggung risiko yang ada pada Efek tersebut.",1,1,
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Berdasarkan informasi yang Anda berikan, Pasal 5 yang relevan dengan promosi pemasaran Efek menyatakan bahwa jika terdapat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, maka harus dinyatakan secara jelas. Oleh karena itu, jawaban yang tepat adalah:

B) Memuat pendapat, proyeksi, atau ramalan secara jelas

Sanksi administratif akan diberikan kepada pihak yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 2 sampai dengan Pasal 6, seperti yang ditetapkan dalam Pasal 7 ayat (1), dan sanksi tersebut dikenakan oleh Otoritas Jasa Keuangan. Sanksi administratif berupa peringatan tertulis atau memberikan gambaran yang menyesatkan, seperti yang ditetapkan dalam Pasal 7 ayat (4).",1,1,
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Jawab: B) Prospektus atau kesempatan untuk membaca Prospektus

Alasan: Pasal 6 dalam rangka Penawaran Umum menetapkan bahwa dalam promosi pemasaran Efek, wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, serta setelah Pernyataan Pendaftaran efektif. Hal ini dimaksudkan untuk melindungi pemodal dari risiko yang tidak diinginkan dan memastikan mereka memiliki akses ke informasi yang lengkap sebelum melakukan pemesanan pembelian Efek.",1,1,
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: C) Melakukan tindakan tertentu kepada Pihak yang melanggar

Keterangan: Pasal 9 Peraturan Otoritas Jasa Keuangan menyatakan bahwa Otoritas Jasa Keuangan berwenang mengenakan sanksi administratif terhadap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan. Beberapa contoh sanksi administratif yang dapat dikenakan antara lain peringatan tertulis, denda, pembatasan atau pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap pihak yang melakukan pelanggaran, selain sanksi administratif sebagaimana dimaksud dalam Pasal 8 ayat (1). Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif sebagaimana dimaksud dalam Pasal 8 ayat (1) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 9 kepada masyarakat.",1,0,
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Jawab: B) Tanggal diundangkan

Dasar: Pasal 12 Peraturan Otoritas Jasa Keuangan (POJK) Nomor 51 /POJK.04/2016, Pasal 11 POJK Nomor 75 /POJK.04/2017, Pasal 32 POJK Nomor 34/POJK.04/2020, dan Pasal 32 Peraturan Otoritas Jasa Keuangan Nomor 34/POJK.04/2020. Setiap Peraturan Otoritas Jasa Keuangan mulai berlaku pada tanggal diundangkan, seperti yang ditetapkan dalam pasal-pasal tersebut.",1,1,
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan informasi yang Anda berikan, yaitu dari beberapa regulasi diantaranya Peraturan Otoritas Jasa Keuangan (OJK) tentang Pengambilalihan Perusahaan Terbuka, Peraturan OJK tentang Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka, Peraturan OJK tentang Pemecahan Saham dan Penggabungan Saham Oleh Perusahaan Terbuka, serta Peraturan OJK tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka, kita dapat menafsirkan bahwa istilah ""Perusahaan Terbuka"" dalam Pasal 1 di semua regulasi tersebut memiliki arti yang sama.

Definisi ""Perusahaan Terbuka"" yang dimaksud dalam Pasal 1 adalah:

B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.

Karena pada Pasal 1 dari setiap regulasi yang Anda berikan, selalu ditetapkan bahwa ""Perusahaan Terbuka"" adalah ""emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik"". Hal ini menunjukkan bahwa istilah ""Perusahaan Terbuka"" dalam Pasal 1 dari setiap regulasi tersebut memiliki arti yang sama, yaitu sebagai emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1,1,
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"D) Rapat Umum Pemegang Saham (RUPS)

Pasal 71 dari Peraturan Otoritas Jasa Keuangan Nomor 35/POJK.04/2014 tentang Tanggung Jawab Pengendali, Direksi, dan Dewan Komisaris Perusahaan Terbuka menyebutkan bahwa Rapat Umum Pemegang Saham memiliki wewenang yang tidak diberikan kepada Direksi atau Dewan Komisaris. Hal ini mengacu pada ketentuan Pasal 62 ayat (1) Undang-Undang Nomor 40 Tahun 2007 tentang Perseroan Terbatas yang menetapkan bahwa Rapat Umum Pemegang Saham merupakan kekuasaan terbesar dalam Perseroan Terbatas, termasuk Perusahaan Terbuka.",1,1,
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,Perusahaan Terbuka wajib menyelenggara RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir. (Pasal 2 ayat (2) dari RUPS),1,0,
10,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris,"Jawab: D [Pasal 3 ayat (1), Peraturan Urusan Publik Securities (RUPS)]

Dalam Pasal 3 ayat (1) diatur bahwa penyelenggaraan RUPS dapat dilakukan atas permintaan 

a. 1 (satu) orang atau lebih pemegang saham yang bersama-sama mewakili 1/10 (satu persepuluh) atau lebih dari jumlah seluruh saham dengan hak suara, kecuali anggaran dasar menentukan suatu jumlah yang lebih kecil; atau 

b. Dewan Komisaris.

Oleh karena itu, pemegang saham dan Dewan Komisaris dapat mengajukan permintaan penyelenggaraan RUPS.",1,0,
11,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari,"Jawab: C) Paling lambat 15 hari

Keterangan: Menurut Pasal 4 ayat (1) dari context yang Anda berikan, Direksi wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 15 (lima belas) hari terhitung sejak tanggal permintaan penyelenggaraan RUPS diterima oleh Direksi.",1,1,
12,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris,"Jawab: B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris

Keterangan: Menurut Pasal 5 ayat (2) dalam context yang disediakan, jika Direksi tidak melakukan pengumuman RUPS atas usulan pemegang saham dalam jangka waktu tertentu, maka pemegang saham dapat mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris. Oleh karena itu, jawaban yang tepat adalah B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris.",1,0,
13,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan,"Jawab: C) Memberikan alasan tidak diselenggarakannya RUPS

Keputusan ini didasarkan pada Pasal 9 ayat (1) dari Peraturan Otoritas Jasa Keuangan yang relevan. Pasal tersebut menyatakan bahwa jika Direksi tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, maka Direksi wajib memberikan alasan tidak diselenggarakannya RUPS dalam jangka waktu paling lambat 15 (lima belas) hari sejak tanggal permintaan penyelenggaraan RUPS diterima Direksi.",0,0,
14,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini,"Jawab: A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini.

Pasal 10 ayat (1) menyatakan bahwa Perusahaan Terbuka wajib memiliki prosedur yang memadai untuk memastikan bahwa transaksi afiliasi dilaksanakan sesuai dengan praktik bisnis yang berlaku umum. Hal ini berlaku dalam hal transaksi afiliasi yang merupakan transaksi material dan tidak memenuhi ketentuan sebagaimana dimaksud dalam Pasal 6 ayat (1). Selain itu, Perusahaan Terbuka juga wajib menyimpan dokumen terkait pelaksanaan prosedur dalam jangka waktu penyimpanan dokumen sesuai dengan ketentuan peraturan perundang-undangan. Oleh karena itu, dapat disimpulkan bahwa prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan.",1,0,
15,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS,"Jawab: A) Paling lambat 5 hari sebelum pengumuman RUPS.

Pasal 13 ayat (1) Peraturan Otoritas Jasa Keuangan mengenai rencana dan penyelenggaraan rapat umum pemegang saham Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib terlebih dahulu menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman RUPS, dengan tidak memperhitungkan tanggal pengumuman RUPS.",1,1,
16,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
","Jawab: B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir

Pasal 14 (1) dari Peraturan Menteri Keuangan Nomor 32/PO.01/2021 tentang Pengumuman Mata Acara Rapat Umum Pemegang Saham (RUPS) Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 14 (empat belas) hari sebelum pemanggilan RUPS, dengan tidak memperhitungkan tanggal pengumuman dan tanggal pemanggilan. Dalam pengumuman RUPS, wajib memuat paling sedikit: a. ketentuan pemegang saham yang berhak hadir dalam RUPS; b. ketentuan pemegang saham yang berhak mengusulkan mata acara rapat; c. tanggal penyelenggaraan RUPS; dan d. tanggal pemanggilan RUPS.

Oleh karena itu, jawaban yang benar adalah B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir.",1,1,
17,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari,"Jawab: C) 7 (tujuh) hari

Pasal 16 ayat (1) yang tercantum dalam context menyatakan bahwa pemegang saham yang dapat mengusulkan mata acara rapat adalah 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara. Usulan mata acara rapat harus dilakukan dengan itikad baik, mempertimbangkan kepentingan Perusahaan Terbuka, dan menyertakan alasan dan bahan usulan mata acara rapat. Hal ini juga tidak bertentangan dengan ketentuan peraturan perundang-undangan dan anggaran dasar.

Selain itu, Pasal 17 ayat (1) menyatakan bahwa Perusahaan Terbuka wajib melakukan pemanggilan kepada pemegang saham paling lambat 21 (dua puluh satu) hari sebelum tanggal penyelenggaraan RUPS. Pemanggilan RUPS harus memuat informasi mengenai tanggal penyelenggaraan RUPS, waktu penyelenggaraan RUPS, tempat penyelenggaraan RUPS, ketentuan pemegang saham yang berhak hadir dalam RUPS, mata acara rapat termasuk penjelasan atas setiap mata acara tersebut, informasi yang menyatakan bahan terkait mata acara rapat tersedia bagi pemegang saham sejak tanggal dilakukannya pemanggilan RUPS sampai dengan RUPS diselenggarakan, dan informasi bahwa pemegang saham dapat memberikan kuasa melalui e-RUPS.

Dalam hal ini, bagaimana lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat? Pasal 16 ayat (1) menyatakan bahwa pemegang saham dapat mengusulkan mata acara rapat paling lambat 7 (tujuh) hari sebelum pemanggilan RUPS. Oleh karena itu, jawaban yang benar adalah C) 7 (tujuh) hari.",1,1,
