,answer,ans_grth
0,"Dalam Peraturan Otoritas Jasa Keuangan, efek adalah surat berharga yang mencakup surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. Penawaran Umum adalah kegiatan penawaran Efek yang dilakukan oleh Emiten untuk menjual Efek kepada masyarakat berdasarkan tata cara yang diatur dalam Undang-Undang mengenai pasar modal dan peraturan pelaksanaannya. Emiten adalah pihak yang melakukan Penawaran Umum. Hal ini diatur dalam Peraturan Otoritas Jasa Keuangan Nomor 22/POJK.04/2019 tentang Transaksi Efek, dalam Pasal 1.","""a. Efek adalah surat berharga, yaitu surat pengakuan 
utang, surat berharga komersial, saham, obligasi, tanda 
bukti utang, unit penyertaan kontrak investasi kolektif, 
kontrak berjangka atas Efek, dan setiap derivatif dari 
Efek. b. Penawaran Umum adalah kegiatan penawaran Efek yang 
dilakukan oleh emiten untuk menjual Efek kepada
masyarakat berdasarkan tata cara yang diatur dalam 
Undang-Undang Nomor 8 Tahun 1995 tentang Pasar 
Modal dan peraturan pelaksanaannya. c. Emiten adalah Pihak yang melakukan Penawaran Umum."
1,"Dalam rangka penawaran umum oleh Emiten atau pemasaran Efek, perusahaan efek dilarang untuk:

1. Memuat informasi yang tidak benar atau tidak mengungkapkan fakta material, sehingga memberikan gambaran yang menyesatkan.
2. Memberikan gambaran yang menyesatkan, karena isi dan/atau metode penyajiannya memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut.

Hal ini diatur dalam Pasal 2 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek.","""
""a. memuat informasi yang tidak benar atau tidak 
mengungkapkan fakta material, sehingga memberikan 
gambaran yang menyesatkan; dan/atau
b. memberikan gambaran yang menyesatkan, karena isi 
dan/atau metode penyajiannya memberikan kesan 
bahwa Efek tertentu tepat bagi Pihak tertentu yang 
sebenarnya tidak memiliki kemampuan yang cukup 
untuk menanggung risiko yang ada pada Efek tersebut."
2,"Kewajiban promosi pemasaran efek sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 adalah sebagai berikut:

1. Memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu yang dipromosikan.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, harus memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, dan apakah pihak tersebut atau afiliasinya telah memperdagangkan Efek tersebut.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau kesempatan untuk membaca Prospektus, serta setelah Pernyataan Pendaftaran efektif.

Hal ini diatur dalam Pasal 3, Pasal 4, Pasal 5, dan Pasal 6 dari POJK Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek.","""
a. memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu; dan b. mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu dimaksud."
3,"Dalam promosi pemasaran efek, terdapat beberapa hal yang harus dimuat sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019, yaitu:

1. Informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Pengungkapan risiko yang berhubungan dengan investasi atas Efek tertentu.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, wajib memuat informasi tanggal rekomendasi, harga pasar pada saat rekomendasi dibuat, pihak yang memberikan rekomendasi, dan keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan Efek tersebut.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan tersebut harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas."
4,"Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif sebagaimana dimaksud dalam Pasal 16 ayat (1), Pasal 22 ayat (1), Pasal 30 ayat (4), dan Pasal 33 ayat (1) kepada masyarakat berdasarkan Pasal 18 dalam Peraturan Otoritas Jasa Keuangan Nomor 36/POJK.04/2014 tentang Penawaran Umum Berkelanjutan Efek Bersifat Utang dan/atau Sukuk.","
Pasal 7 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 8 kepada masyarakat."
5,"Dalam hal promosi pemasaran efek, informasi yang wajib dimuat termasuk:

1. Informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu.
2. Pengungkapan risiko yang berhubungan dengan investasi atas Efek tertentu.
3. Jika promosi memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu, informasi yang harus disertakan meliputi:
   a. Tanggal rekomendasi.
   b. Harga pasar pada saat rekomendasi dibuat.
   c. Pihak yang memberikan rekomendasi.
   d. Keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00.
4. Jika promosi memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, maka pendapat, proyeksi, atau ramalan tersebut harus diungkapkan secara jelas.
5. Dalam rangka Penawaran Umum, promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif.

Regulasi yang mengatur hal ini adalah Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik. Pasal-pasal terkait adalah Pasal 3, Pasal 4, Pasal 5, dan Pasal 6 dari regulasi tersebut.","
a. tanggal rekomendasi; b. harga pasar pada saat rekomendasi dibuat; c. Pihak yang memberikan rekomendasi; dan d. keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah)."
6,"Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas. Hal ini diatur dalam Pasal 5 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019 tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya kepada Publik.","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas."
7,"Sanksi administratif yang dimaksud pada ayat (1) dalam konteks tersebut adalah sanksi yang dikenakan kepada setiap pihak yang melakukan pelanggaran terhadap Undang-Undang atau peraturan pelaksanaannya yang berlaku dan yang telah memperoleh izin, persetujuan, atau pendaftaran dari Bapepam atau Otoritas Jasa Keuangan sesuai dengan regulasi yang berlaku. Sanksi administratif tersebut termasuk peringatan tertulis, denda, pembatasan kegiatan usaha, pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Penetapan sanksi administratif lebih lanjut diatur dalam Peraturan Pemerintah atau peraturan yang berlaku yang dikeluarkan oleh Bapepam atau Otoritas Jasa Keuangan.","
a. peringatan tertulis; b. denda yaitu kewajiban untuk membayar sejumlah uang tertentu; c. pembatasan kegiatan usaha; d. pembekuan kegiatan usaha; e. pencabutan izin usaha; f. pembatalan persetujuan; dan/atau g. pembatalan pendaftaran."
8,"Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2017 tentang Prospektus Awal dan Info Memo mulai berlaku pada tanggal diundangkan, sesuai dengan Pasal 10 dari regulasi tersebut.","
""Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada
tanggal diundangkan."
9,"Prospektus, Prospektus Awal, dan Prospektus Ringkas adalah istilah yang digunakan dalam regulasi Pasar Modal di Indonesia. Berdasarkan informasi yang terdapat dalam Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2017 tentang Prospektus Awal dan Info Memo, istilah tersebut dijelaskan sebagai berikut:

1. Prospektus: Setiap informasi tertulis sehubungan dengan penawaran umum dengan tujuan agar pihak lain membeli efek.
   
2. Prospektus Awal: Dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran efek, penjaminan emisi efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan.

3. Prospektus Ringkas: Ringkasan dari isi Prospektus Awal.

Jadi, Prospektus adalah informasi tertulis terkait dengan penawaran umum efek, Prospektus Awal adalah dokumen awal yang memuat informasi lengkap yang disampaikan kepada Otoritas Jasa Keuangan, sedangkan Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. Penjelasan ini sesuai dengan ketentuan yang terdapat dalam Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2017.","""
Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek Emiten. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. "
10,"Perusahaan Terbuka adalah emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik. Definisi ini sesuai dengan Pasal 1 ayat 1 dari Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2020, Pasal 1 ayat 1 dari Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2017, dan Pasal 1 ayat 1 dari Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018.","
Perusahaan Terbuka adalah emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik."
11,"Pemegang Saham Independen adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan bukan merupakan anggota direksi, anggota dewan komisaris, pemegang saham utama, dan pengendali, atau bukan merupakan afiliasi dari anggota direksi, anggota dewan komisaris, pemegang saham utama, dan pengendali. Penjelasan ini mengacu pada definisi Pemegang Saham Independen yang terdapat dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 3/POJK.04/2021, pada Pasal 1 ayat 29.","
Pemegang Saham Independen adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan  a. bukan merupakan anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali; atau b. bukan merupakan afiliasi dari anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali."
12,"Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir, sebagaimana diatur dalam Pasal 2 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020.","
Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir."
13,"Permintaan penyelenggaraan RUPS yang terdapat pada Pasal 3 ayat (1) adalah sebagai berikut:
1. Permintaan dari 1 (satu) orang atau lebih pemegang saham yang bersama-sama mewakili 1/10 (satu persepuluh) atau lebih dari jumlah seluruh saham dengan hak suara.
2. Permintaan dari Dewan Komisaris. 

Ini sesuai dengan ketentuan Pasal 3 ayat (1) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020.","
a. dilakukan dengan itikad baik; b. mempertimbangkan kepentingan Perusahaan Terbuka; c. merupakan permintaan yang membutuhkan keputusan RUPS; d. disertai dengan alasan dan bahan terkait hal yang harus diputuskan dalam RUPS; dan e. tidak bertentangan dengan ketentuan peraturan perundang-undangan dan anggaran dasar Perusahaan Terbuka"
