,q,ch,a,answer_mcq,score
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah D) Bentuk pengakuan utang. Hal ini diatur dalam Pasal 1 dari PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 22/POJK.04/2019 TENTANG TRANSAKSI EFEK.",0
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Dalam promosi pemasaran Efek menurut Pasal 2, yang dilarang adalah B) Memberikan gambaran yang menyesatkan. Pasal 2 menyatakan bahwa dalam promosi pemasaran Efek, dilarang memuat informasi yang tidak benar atau tidak mengungkapkan fakta material sehingga memberikan gambaran yang menyesatkan.",1
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Dalam promosi pemasaran Efek sesuai dengan Pasal 3, hal yang wajib dimuat adalah:
A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu",1
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Pasal 5 dalam PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7/POJK.04/2019 TENTANG PROMOSI PEMASARAN EFEK menyatakan bahwa dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas. Oleh karena itu, jawabannya adalah B) Memuat pendapat, proyeksi, atau ramalan secara jelas.",1
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum, yang harus dimuat adalah B) Prospektus atau kesempatan untuk membaca Prospektus. Hal ini sesuai dengan ketentuan yang menyatakan bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. (POJK No. 7/POJK.04/2019, Pasal 6)",1
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif sebagaimana dimaksud dalam Pasal 9 kepada masyarakat. Oleh karena itu, jawabannya adalah A) Dapat mengumumkan kepada masyarakat.",0
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Peraturan Otoritas Jasa Keuangan mulai berlaku pada:
A) Tanggal diundangkan",1
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan Pasal 1 dari setiap regulasi yang disebutkan, ""Perusahaan Terbuka"" merujuk kepada B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),Pemegang Saham Independen memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka. Hal ini sesuai dengan ketentuan dalam Peraturan Otoritas Jasa Keuangan Nomor 16/POJK.04/2020 tentang Pelaksanaan Rapat Umum Pemegang Saham Perusahaan Terbuka Secara Elektronik.,0
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,"Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir berdasarkan Pasal 2 ayat (2) dari Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2020. Oleh karena itu, jawabannya adalah:

C) Paling lambat 6 bulan setelah tahun buku berakhir",1
