,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Based on the provided context, the concept of 'Pasar Uang' (money market) refers to the meeting of demand and supply of credit in various tenors, not limited to:

a. Short-term
b. Medium-term
c. Long-term

So, the answer to your question is:
a. Jangka pendek
b. Jangka menengah
c. Jangka panjang

These terms are not defined explicitly in the context, but based on general financial knowledge, I can provide you with these meanings:

a. Jangka pendek (Short-term): up to 1 year
b. Jangka menengah (Medium-term): between 1 to 5 years
c. Jangka panjang (Long-term): more than 5 years

The context provided is from various regulations, including Pasal 41 (1), Pasal 28 (2), Pasal 31, Pasal 32 (1), and other articles from an unspecified regulation in the financial sector.",1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,"Based on the provided context, I can see that there have been stock exchanges in several cities in Indonesia in the past, besides the current Indonesia Stock Exchange (IDX) in Jakarta. The context mentions Surabaya, which indicates that there was a stock exchange in Surabaya. Therefore, the answer to the question is:

c. Surabaya

(Referring to Peraturan Menteri Keuangan Republik Indonesia Nomor 31/PMK.01/2002 Tentang Pasar Modal)",1
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"The Jakarta Automated Trading System

The system is referred to as the Jakarta Automated Trading System (JATS). This system is implemented at the Indonesia Stock Exchange (IDX) to automate the trading process, making it faster and more efficient. The use of JATS is in line with the purpose of the IDX, which is to provide a system and/or facilities for the trading of securities. This is based on the provisions in the context from Ayat (2) of the Indonesia Stock Exchange Bylaws.

Ayat (2) Bursa Efek didirikan untuk menyelenggarakan dan menyediakan sistem dan/atau sarana perdagangan Efek. Dengan tersedianya sistem dan/atau sarana yang baik, para Anggota Bursa Efek yang sekaligus pemegang saham Bursa Efek yang bersangkutan dapat melakukan penawaran jual dan beli Efek secara teratur, wajar, dan efisien. Di samping itu, tersedianya sistem dan/atau sarana dimaksud memungkinkan Bursa Efek melakukan pengawasan terhadap anggotanya dengan lebih efektif.",1
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,"The context provided discusses various regulations related to capital market regulations in Indonesia, particularly on the disclosure requirements for Perseroan Terbuka (PT or open joint-stock companies). However, the context does not specifically mention the term ""Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan.""

To answer the question, I will provide information regarding the types of securities in a company, as discussed in the Indonesian Capital Market Law No. 8 of 1995, Article 1 number 12:

a. Saham (Shares) - a security that represents ownership in a company and grants voting rights and the right to receive dividends.

b. Obligasi (Bonds) - a security that represents a loan made by an investor to a company, with the company agreeing to repay the principal along with interest.

c. Right - a security that grants the holder the right to buy a specified number of shares at a specified price within a certain time frame.

d. Warrant - a security that grants the holder the right to buy a specified number of shares at a specified price, but with a longer time frame than a right.

e. Reksadana (Mutual Funds) - a security that pools money from investors and invests it in a diversified portfolio of securities, managed by a professional fund manager.

Based on the provided context, the term ""Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan"" is closest to the definition of ""Saham"" (Shares).",0.5
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,"Based on the provided context, the answer to the question is:
",0
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,"Pasal 1 dari Peraturan Otoritas Jasa Keuangan tentang Transaksi Efek yang Tidak Dilarang bagi Orang Dalam menyebutkan bahwa pembeli Efek bukan merupakan Pemodal Profesional.

Pertanyaaan: Siapakah yang bukan termasuk pelaku di pasar modal?

Dari context yang Anda berikan, tidak ada informasi langsung mengenai daftar entitas atau subjek yang bukan termasuk pelaku di pasar modal. Namun, secara umum, pelaku di pasar modal dapat diartikan sebagai pesaing, pemangku kewajiban, atau pemangku aset yang terdaftar dan aktif dalam pasar modal. Mereka dapat berupa emiten, perusahaan efek, reksadana, BUMN, perusahaan publik, serta individu atau lembaga yang secara langsung atau tidak langsung terkait dengan kegiatan pasar modal.

Oleh sebab itu, dengan mengacu pada definisi umum di atas, jawaban untuk pertanyaan nomor 9 adalah:

c. Reksadana

Karena reksadana merupakan suatu entitas yang dapat menjadi pemangku kewajiban atau pemangku aset di pasar modal, mereka bukan termasuk dalam daftar yang diminta. Namun, jika ada informasi lebih lanjut yang tersedia, jawaban ini dapat berubah.",0
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,"Based on the provided context, the information related to the regulation of capital market in Indonesia is stated in Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal and Undang-Undang Nomor 21 Tahun 2011 tentang Otoritas Jasa Keuangan.

In relation to the first question, there is no specific regulation or article mentioned in the context regarding the requirement for a PPE-EBUS (parties that conduct debt securities trading for their own interest and/or for their clients) to have a minimum capital. However, based on the general definition of Lembaga Jasa Keuangan (financial services institutions) in article 8 of the context, it is possible that PPE-EBUS may be subject to certain capital requirements set by the Otoritas Jasa Keuangan (Financial Services Authority).

Therefore, the answer is: My apologies, it seems my database does not have sufficient information to answer your query at the moment. However, based on the general definition of Lembaga Jasa Keuangan, it is possible that PPE-EBUS may be subject to certain capital requirements set by the Otoritas Jasa Keuangan.",0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,"The capital market in Indonesia is regulated by several regulations, one of which is the Indonesian Capital Market Law No. 8 of 1995. Based on the provided context, I will answer your questions related to the capital market regulation in Indonesia.

Question: Who is responsible for fulfilling the obligations to the securities company for a securities company's customer in a securities transaction?

Answer: According to Pasal 18 of the provided context, a securities company customer is only responsible for fulfilling their obligations to the securities company that carries out the securities transaction on behalf of the customer and is not responsible to other parties, including clearing institutions and guarantors, other securities companies, and other securities company customers.",0
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,"The term for a document that confirms the participation in capital increases is called ""Penyertaan"". Therefore, the correct answer is (c) Penyertaan. This term is used in the capital market regulation in Indonesia, specifically in the Additional Letter of the Republic of Indonesia Number 5779 and Number 6145.",0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"Based on the provided context, the functions of Bapepam (Badan Pengawas Pasar Modal) include:

a. Conducting examinations of financial reports for companies that will enter the stock exchange (Pasal 100 (1) of Undang-undang Nomor 8 Tahun 1995)

d. Conducting supervision and regulation of securities markets managed privately (Pasal 5 litera d of Undang-undang Nomor 8 Tahun 1995)

The options that do not match Bapepam's functions based on the provided context are:

b. Guaranteeing share emissions for companies that want to sell shares (Bapepam's role is to regulate and supervise, not to guarantee)

c. Acting as an agent (intermediary) for securities trading (Bapepam's role is to regulate and supervise, not to trade)

e. Increasing public participation in fundraising at the stock exchange (While Bapepam can promote and facilitate, it is not their primary function to increase public participation)",0
