,q,ch,a,answer_mcq,score,score_by_ai,
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"D) Bentuk pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek.

Sebagaimana dimaksud dalam Peraturan Otoritas Jasa Keuangan, ""Efek"" adalah surat berharga yang meliputi: surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Peraturan Otoritas Jasa Keuangan tentang Transaksi Efek yang Tidak Dilarang bagi Orang Dalam, Pasal 1, point 1).",0,0,0.46
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Pasal 2 yang Anda berikan hampir tidak relevan dengan pertanyaan Anda, karena Pasal 2 berbicara tentang Penawaran Umum dan syarat-syarat apa saja yang dapat menjadikannya bukan Penawaran Umum.

Namun, untuk menjawab pertanyaan Anda, kita perlu melihat Pasal 3, yang memuat ketentuan mengenai Promosi Pemasaran Efek. Secara khusus, Pasal 3(b) melarang menyebarkan informasi yang menyesatkan, karena isinya atau cara penyajiannya memberikan kesan bahwa Efek tertentu sesuai dengan pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk mengurangi resiko yang terkait dengan investasi terhadap Efek tersebut.

Jawabannya adalah: B) Memberikan gambaran yang menyesatkan

Referensi: Pasal 3(b) Peraturan Kepala Otoritas Jasa Keuangan No. 21/POJK.04/2015 tentang Penawaran Umum dan Placement Privat Efek.",1,1,0.8
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Sebagai ahli capita market regulation di Indonesia, dari informasi yang Anda berikan, promosi pemasaran Efek wajib memuat informasi sebagai berikut:

A) Informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu (menurut Pasal 3(a) yang dimaksudkan).

Informasi lain seperti harga pasar saat promosi dibuat, nama pihak yang memberikan rekomendasi, dan keterangan tentang perdagangan Efek tersebut (memperdagangkan Efek tersebut atau memiliki Efek tersebut dengan nilai minimal Rp25.000.000,00) wajib dimuat dalam promosi pemasaran Efek hanya jika promosi tersebut memuat rekomendasi untuk membeli, menjual, atau menahan Efek tertentu (menurut Pasal 4).

Jawabannya adalah: A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu.",1,1,
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Berdasarkan context yang Anda berikan, Pasal 5 berhubungan dengan promosi pemasaran Efek dan menetapkan bahwa jika terdapat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, maka harus diterangkan secara jelas. Oleh karena itu, jawaban yang tepat adalah:

B) Memuat pendapat, proyeksi, atau ramalan secara jelas

Hal ini disebutkan secara eksplisit dalam Pasal 5: ""Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.""

Jadi, Pasal 5 tidak melarang promosi pemasaran Efek secara keseluruhan, dan tidak hanya mengizinkan informasi yang positif. Selain itu, Pasal 5 tidak mencakup isu tentang mengungkapkan risiko investasi atau mengharuskan untuk hanya mencantumkan informasi yang positif.",1,1,
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Menurut Pasal 6 dalam rangka Penawaran Umum, dalam promosi pemasaran Efek harus memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. Jadi, jawabannya adalah B) Prospektus atau kesempatan untuk membaca Prospektus.",1,1,
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: C) Melakukan tindakan tertentu kepada Pihak yang melanggar

Keterangan: Pasal 9 Peraturan Otoritas Jasa Keuangan menyatakan bahwa Otoritas Jasa Keuangan berwenang mengenakan sanksi administratif terhadap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan. Beberapa contoh sanksi administratif yang dapat dikenakan antara lain peringatan tertulis, denda, pembatasan atau pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap pihak yang melakukan pelanggaran, yang termasuk dalam tindakan tertentu tersebut adalah pengenaan sanksi administratif.",0,0,
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Jawab: B) Tanggal diundangkan

Dalam context yang disediakan, Peraturan Otoritas Jasa Keuangan (OJK) tersebut mulai berlaku pada tanggal diundangkan. Hal ini dapat dilihat pada akhir dari setiap context, di mana tercantum bahwa peraturan tersebut diundangkan pada tanggal tertentu. Misalnya, Peraturan OJK Nomor 51 /POJK.04/2016 mulai berlaku pada tanggal 7 Desember 2016, sementara Peraturan OJK Nomor 75 /POJK.04/2017 mulai berlaku pada tanggal 22 Desember 2017. Oleh karena itu, jawaban yang benar adalah B) Tanggal diundangkan.",1,0,
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan informasi di database saya, Perusahaan Terbuka definisikan dalam beberapa regulasi yang relevan, yaitu:

1. Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 64, Tambahan Lembaran Negara Republik Indonesia Nomor 3608)
2. Undang-Undang Nomor 21 Tahun 2011 tentang Otoritas Jasa Keuangan (Lembaran Negara Republik Indonesia Tahun 2011 Nomor 111, Tambahan Lembaran Negara Republik Indonesia Nomor 5253)
3. Peraturan Otoritas Jasa Keuangan (OJK) Nomor 20/POJK.04/2011 tentang Pengambilalihan Perusahaan Terbuka
4. Peraturan Otoritas Jasa Keuangan (OJK) Nomor 21/POJK.04/2011 tentang Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka
5. Peraturan Otoritas Jasa Keuangan (OJK) Nomor 32/POJK.04/2014 tentang Pemecahan Saham dan Penggabungan Saham Oleh Perusahaan Terbuka
6. Peraturan Otoritas Jasa Keuangan (OJK) Nomor 33/POJK.04/2014 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka.

Dalam Pasal 1 dari setiap regulasi di atas, definisi Perusahaan Terbuka adalah:

""Perusahaan Terbuka adalah emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.""

Jadi, jawaban yang benar adalah:
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1,1,
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"D) Rapat Umum Pemegang Saham (RUPS)

Pasal 71, ayat (1) dari Peraturan Otoritas Jasa Keuangan Nomor 35/POJK.04/2014 tentang Tanggung Jawab Pengendali, Direksi, dan Dewan Komisaris Perusahaan Terbuka menyebutkan bahwa Rapat Umum Pemegang Saham (RUPS) memiliki wewenang yang tidak diberikan kepada Direksi atau Dewan Komisaris dalam Perusahaan Terbuka.",,1,
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,"Pasal 2 ayat (2) Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir. Jadi, jawaban yang benar adalah C) Paling lambat 6 bulan setelah tahun buku berakhir.",1,1,
