,q,ch,a,answer_mcq,score
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah surat berharga. Contoh-contoh dari efek antara lain surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Referensi: Peraturan Otoritas Jasa Keuangan Nomor 22/POJK.04/2019 tentang Transaksi Efek, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 22 /POJK.04/2017 Tentang Pelaporan Transaksi Efek, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 10/POJK.04/2020 Tentang Laporkan Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2018 Tentang Penawaran Umum Efek Bersifat Utang dan/atau Sukuk Kepada Pemodal Profesional, Pasal 1 huruf (2).)",1
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Jawab: B) Memberikan gambaran yang menyesatkan

Alasan: Menurut Pasal 2 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019, dalam rangka Penawaran Umum oleh Emiten atau pemasaran Efek oleh Perusahaan Efek, promosi pemasaran Efek termasuk iklan, brosur, atau komunikasi lainnya kepada publik, yang bukan merupakan Prospektus, Prospektus Ringkas, Prospektus Awal, atau info memo, dilarang memberikan gambaran yang menyesatkan (b). Hal ini berlaku jika informasi yang dimuat tidak benar atau tidak mengungkapkan fakta material, sehingga memberikan gambaran yang menyesatkan, atau jika isi dan/atau metode penyajiannya memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut.",1
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Dalam promosi pemasaran Efek, Pasal 3 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2",1
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas",Berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2,1
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Jawab:
B) Prospektus atau kesempatan untuk membaca Prospektus

Alasan:
Pasal 6 dalam rangka Penawaran Umum menjelaskan bahwa dalam promosi pemasaran Efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. Hal ini dimaksudkan untuk mencerminkan kewajiban Emiten atau Perusahaan Efek dalam memberikan informasi lengkap dan benar kepada pemodal, serta memastikan bahwa pemodal memiliki kesempatan yang cukup untuk membaca dan memahami konten Prospektus sebelum melakukan pemesanan pembelian Efek.",0
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: A) Dapat mengumumkan kepada masyarakat

Kontekstualisasi: Dari beberapa peraturan Otoritas Jasa Keuangan (OJK) yang disediakan, terdapat Peraturan OJK Nomor 51/POJK.04/2",0
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Sesuai dengan informasi di database, berikut adalah tanggal mulai berlaku dari beberapa peraturan Otoritas Jasa Keuangan (OJK) yang relevan:

1. Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2",0
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018 Tentang Pengambilalihan Perusahaan Terbuka, Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2",0
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"Jawab: D

Hal ini disebabkan oleh Pasal 2 Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2",0
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,Pasal 2 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2,0
10,Siapa yang dapat mengajukan permintaan penyelenggaraan RUPS menurut Pasal 3 ayat (1)?,"A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara
B) Hanya Direksi
C) Dewan Komisaris
D) Pemegang saham dan Dewan Komisaris",D) Pemegang saham dan Dewan Komisaris,"Jawab: A) Hanya pemegang saham yang mewakili lebih dari 1/10 saham dengan hak suara

Alasan: Menurut Pasal 3 ayat (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",0
11,Kapan Direksi wajib melakukan pengumuman RUPS setelah menerima permintaan penyelenggaraan RUPS menurut Pasal 4 ayat (1)?,"A) Paling lambat 7 hari
B) Paling lambat 10 hari
C) Paling lambat 15 hari
D) Paling lambat 20 hari",C) Paling lambat 15 hari,"Jawab: C) Paling lambat 15 hari

Keterangan: Menurut Pasal 4 ayat (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",0
12,"Apa yang dapat dilakukan pemegang saham jika Direksi tidak melakukan pengumuman RUPS atas usulan mereka, menurut Pasal 5 ayat (2)?","A) Melakukan pengumuman RUPS sendiri
B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris
C) Tidak ada opsi lain, harus menerima keputusan Direksi
D) Melaporkan Direksi kepada Otoritas Jasa Keuangan",B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris,"Jawab: B) Mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris

Keputusan ini didasarkan pada Pasal 5 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka. Pasal ini menetapkan bahwa jika Direksi tidak melakukan pengumuman RUPS atas permintaan pemegang saham dalam waktu 15 hari sejak tanggal permintaan diterima, maka pemegang saham dapat mengajukan kembali permintaan penyelenggaraan RUPS kepada Dewan Komisaris.",1
13,"Apa yang harus dilakukan Direksi jika mereka tidak melakukan pengumuman RUPS atas usulan Dewan Komisaris, menurut Pasal 9 ayat (1)?","A) Mengumumkan bahwa RUPS tidak akan diselenggarakan
B) Mengumumkan bahwa RUPS akan diselenggarakan oleh Dewan Komisaris
C) Memberikan alasan tidak diselenggarakannya RUPS
D) Melakukan pengumuman RUPS sendiri",A) Mengumumkan bahwa RUPS tidak akan diselenggarakan,"Jawab: A) Mengumumkan bahwa RUPS tidak akan diselenggarakan

Keputusan ini didasarkan pada Pasal 9 ayat (1) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",1
14,Apa yang diwajibkan oleh Pasal 10 ayat (1) terkait prosedur penyelenggaraan RUPS?,"A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini
B) Prosedur penyelenggaraan RUPS hanya berlaku untuk Direksi
C) Prosedur penyelenggaraan RUPS hanya berlaku untuk Dewan Komisaris
D) Prosedur penyelenggaraan RUPS harus disesuaikan dengan kebijakan Perusahaan Terbuka",A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini,"Jawab: A) Prosedur penyelenggaraan RUPS harus dilakukan sesuai dengan ketentuan Peraturan Otoritas Jasa Keuangan ini.

Rujuk Pasal 10 ayat (1) PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA, yang menyatakan bahwa prosedur penyelenggaraan RUPS wajib dilakukan sesuai dengan peraturan otoritas jasa keuangan. Hal ini berlaku untuk Direksi, Dewan Komisaris, dan pemegang saham.",1
15,"Kapan Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, menurut Pasal 13 ayat (1)?","A) Paling lambat 5 hari sebelum pengumuman RUPS
B) Setelah pengumuman RUPS
C) Pada hari yang sama dengan pengumuman RUPS
D) Paling lambat saat pemanggilan RUPS",A) Paling lambat 5 hari sebelum pengumuman RUPS,"Jawab: A) Paling lambat 5 hari sebelum pengumuman RUPS.

Pasal 13 ayat (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka menetapkan bahwa Perusahaan Terbuka wajib menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman RUPS, dengan tidak memperhitungkan tanggal pengumuman RUPS.",1
16,Apa yang diwajibkan oleh Pasal 14 terkait dengan pengumuman RUPS?,"A) Pengumuman RUPS harus dilakukan paling lambat 14 hari setelah pemanggilan RUPS
B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
C) Pengumuman RUPS hanya wajib mencantumkan tanggal pemanggilan RUPS
D) Pengumuman RUPS tidak perlu memuat informasi tentang pengusulan mata acara rapat","B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir
","Jawab: B) Pengumuman RUPS harus mencantumkan ketentuan pemegang saham yang berhak hadir

Alasan: Pasal 14 (2) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",1
17,Berapa lama sebelum pemanggilan RUPS pemegang saham dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (1)?,"A) 1 (satu) hari
B) 5 (lima) hari
C) 7 (tujuh) hari
D) 10 (sepuluh) hari",C) 7 (tujuh) hari,"Jawab: C) 7 (tujuh) hari.

Dasar: Pasal 16 ayat (1) PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA mengatur bahwa pemegang saham dapat mengusulkan mata acara rapat secara tertulis kepada penyelenggara RUPS, paling lambat 7 (tujuh) hari sebelum pemanggilan RUPS.",1
18,Siapa yang dapat mengusulkan mata acara rapat menurut Pasal 16 ayat (2)?,"A) Hanya Direksi Perusahaan Terbuka
B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki
C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara
D) Anggota Dewan Komisaris",C) 1 (satu) pemegang saham atau lebih yang mewakili 1/20 (satu per dua puluh) atau lebih dari jumlah seluruh saham dengan hak suara,"Pasal 16 ayat (2) menetapkan bahwa usulan mata acara rapat dapat disusun oleh setiap pemegang saham, tanpa memandang jumlah saham yang dimiliki. Oleh sebab itu, jawaban yang benar adalah:

B) Setiap pemegang saham tanpa memandang jumlah saham yang dimiliki.",1
19,Apa saja informasi yang harus dimuat dalam pemanggilan RUPS menurut Pasal 17 ayat (2)?,"A) Hanya tanggal dan waktu RUPS
B) Tanggal, waktu, dan tempat RUPS
C) Tanggal, waktu, tempat, dan ketentuan pemegang saham yang berhak hadir
D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS","D) Tanggal, waktu, tempat, ketentuan pemegang saham yang berhak hadir, mata acara rapat, dan informasi kuasa melalui e-RUPS

Pasal 17 (2) yang merujuk ke Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",1
20,Kapan bahan mata acara rapat wajib tersedia bagi pemegang saham menurut Pasal 18 ayat (2)?,"A) Setelah penyelenggaraan RUPS
B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS
C) 7 (tujuh) hari setelah pemanggilan RUPS
D) Sebelum dilakukannya pemanggilan RUPS",B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS,"Jawab: B) Paling sedikit sejak saat pemanggilan sampai dengan penyelenggaraan RUPS.

Hal ini disesuaikan dengan Pasal 18 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka, yang mengatur bahwa bahan mata acara rapat wajib tersedia sejak tanggal dilakukannya pemanggilan RUPS sampai dengan penyelenggaraan RUPS.",1
21,Kapan Perusahaan Terbuka wajib melakukan ralat pemanggilan RUPS menurut Pasal 19 ayat (1)?,"A) Setiap kali terjadi perubahan informasi
B) Hanya jika terdapat perubahan tanggal penyelenggaraan RUPS
C) Jika terdapat perubahan informasi, tetapi bukan karena kesalahan Perusahaan Terbuka atau perintah Otoritas Jasa Keuangan
D) Hanya jika terdapat penambahan mata acara RUPS",A) Setiap kali terjadi perubahan informasi,"Jawab: A) Setiap kali terjadi perubahan informasi

Pasal 19 ayat (1) menyatakan bahwa perusahaan terbuka wajib melakukan ralat pemanggilan RUPS jika terdapat perubahan informasi dalam pemanggilan RUPS yang telah dilakukan. Hal ini berlaku untuk setiap perubahan informasi, sehingga jawaban yang benar adalah A) Setiap kali terjadi perubahan informasi.",1
22,Kapan pemanggilan RUPS kedua wajib dilakukan menurut Pasal 20?,"A) Paling cepat 10 (sepuluh) hari setelah RUPS pertama diselenggarakan
B) Paling cepat 7 (tujuh) hari setelah RUPS pertama diselenggarakan
C) Paling lambat 10 (sepuluh) hari sejak RUPS pertama diselenggarakan
D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan",A) Paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan,"Jawab: D) Paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.

Hal ini disesuaikan dengan Pasal 20 ayat (1) PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA, yang menetapkan bahwa pemanggilan RUPS kedua wajib dilakukan dalam jangka waktu paling cepat 10 (sepuluh) hari dan paling lambat 21 (dua puluh satu) hari setelah RUPS pertama diselenggarakan.",1
23,Bagaimana pemegang saham berhak memperoleh informasi pada saat pelaksanaan RUPS menurut Pasal 25?,"A) Tidak berhak memperoleh informasi
B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka
C) Berhak memperoleh informasi tanpa batasan
D) Hanya berhak jika diizinkan oleh Dewan Komisaris

",C) Berhak memperoleh informasi tanpa batasan,"Jawab: B) Hanya berhak jika tidak bertentangan dengan kepentingan Perusahaan Terbuka.

Pemegang saham berhak memperoleh informasi mengenai mata acara rapat umum pemegang saham (RUPS) dan bahan terkait mata acara rapat, asalkan informasi tersebut tidak bertentangan dengan kepentingan Perusahaan Terbuka. Hal ini disebutkan dalam Pasal 25 PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020 TENTANG RENCANA DAN PENYELENGGARAAN RAPAT UMUM PEMEGANG SAHAM PERUSAHAAN TERBUKA.",0
24,Siapakah yang dapat diundang oleh Perusahaan Terbuka pada saat pelaksanaan RUPS berdasarkan Pasal 26?,"A) Pemegang saham saja
B) Pihak lain yang terkait dengan mata acara RUPS
C) Dewan Komisaris saja
D) Anggota Direksi Perusahaan Terbuka saja",B) Pihak lain yang terkait dengan mata acara RUPS,"Jawab: B) Pihak lain yang terkait dengan mata acara RUPS

Alasan: Pasal 26 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2",0
